generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,1581.839,223.202,6.0,10,7.043
1,1581.839,325.608,6.7,13,7.043
2,1728.218,316.513,8.25,27,6.85
3,1735.546,322.742,11.75,27,6.807
4,1735.546,189.546,12.8,40,6.807
5,1735.546,305.465,15.65,40,6.807
6,1735.546,335.295,13.95,31,6.807
7,1735.546,250.734,18.35,40,6.807
8,1735.546,179.982,11.9,40,6.807
9,1735.546,355.384,17.9,40,6.807
10,1735.546,391.728,16.5,40,6.807
11,1735.546,377.627,20.7,40,6.807
12,1735.546,222.537,16.8,40,6.807
13,1735.546,342.431,22.5,40,6.807
14,1735.546,381.494,14.65,40,6.807
15,1735.546,258.793,12.1,28,6.807
16,1735.546,379.788,18.8,41,6.807
17,1735.546,298.392,14.15,28,6.807
18,1735.546,208.222,18.0,40,6.807
19,1735.546,204.159,13.95,40,6.807
20,1735.546,344.94,20.25,40,6.807
21,1735.546,347.699,15.95,29,6.807
22,1735.546,307.081,21.7,43,6.807
23,1735.546,393.812,26.65,43,6.807
24,1735.546,222.035,20.05,63,6.807
25,1735.546,367.49,18.5,40,6.807
26,1735.546,149.448,22.95,82,6.807
27,1735.546,289.643,19.05,40,6.807
28,1735.546,193.559,17.7,40,6.807
29,1735.546,209.694,16.6,40,6.807
30,1735.546,190.05,16.7,40,6.807
31,1735.546,283.036,15.75,43,6.807
32,1735.546,344.461,21.1,40,6.807
33,1735.546,393.673,17.35,40,6.807
34,1735.546,116.359,24.05,49,6.807
35,1735.546,238.872,23.15,64,6.807
36,1735.546,474.401,16.15,29,6.807
37,1735.546,239.337,13.3,28,6.807
38,1735.546,303.494,16.35,40,6.807
39,1838.008,380.107,17.4,67,6.768
40,1838.008,315.624,11.5,40,6.768
41,2244.516,508.065,11.4,31,6.313
42,2244.516,353.176,15.25,40,6.313
43,2244.516,401.496,17.8,40,6.313
44,2244.516,196.691,16.35,40,6.313
45,2244.516,513.581,16.95,40,6.313
46,2244.516,398.197,18.9,40,6.313
47,2244.516,429.078,20.45,43,6.313
48,2244.516,423.224,20.0,67,6.313
49,2244.516,256.183,17.65,40,6.313
50,2244.516,365.042,25.45,121,6.313
51,2244.516,280.475,18.85,121,6.313
