generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,784.237,228.244,6.0,13,7.763
1,784.237,141.132,6.5,13,7.763
2,784.237,321.772,5.5,7,7.763
3,1032.27,274.479,5.8,10,7.501
4,1032.27,162.909,5.5,7,7.501
5,1032.27,242.135,4.0,7,7.501
6,1032.27,251.161,3.2,7,7.501
7,1032.27,193.284,5.4,12,7.501
8,1032.27,189.584,4.2,7,7.501
9,1032.27,318.991,5.2,7,7.501
10,1032.27,128.535,4.7,7,7.501
11,1032.27,173.777,4.5,7,7.501
12,1032.27,167.633,6.0,13,7.501
13,1032.27,154.531,4.7,9,7.501
14,1032.27,116.807,5.3,7,7.501
15,1032.27,240.586,5.1,7,7.501
16,1032.27,305.853,5.0,7,7.501
17,1070.675,314.484,6.2,7,7.462
18,1070.675,170.411,5.1,7,7.462
19,1070.675,229.605,4.6,7,7.462
20,1070.675,152.714,3.7,7,7.462
21,1070.675,264.503,5.8,7,7.462
22,1070.675,298.128,6.5,9,7.462
23,1070.675,199.073,5.2,7,7.462
24,1070.675,149.14,5.3,9,7.462
25,1070.675,260.474,3.9,7,7.462
26,1070.675,184.203,6.1,7,7.462
27,1070.675,253.253,5.5,7,7.462
28,1070.675,197.994,4.6,7,7.462
29,1070.675,207.741,6.1,13,7.462
30,2073.045,355.235,4.0,7,6.612
31,2073.045,260.817,4.8,11,6.612
32,2073.045,428.097,2.4,3,6.612
33,2514.371,908.952,3.1,6,6.142
34,2514.371,927.829,2.8,5,6.142
35,2514.371,386.81,3.0,5,6.142
36,2514.371,474.021,2.9,3,6.142
37,2514.371,267.376,2.4,3,6.142
38,2514.371,568.673,3.6,9,6.142
39,2514.371,268.731,2.9,5,6.142
40,2514.371,305.074,2.3,4,6.142
41,2514.371,416.912,2.4,3,6.142
42,3317.799,633.062,2.6,7,5.294
43,3317.799,428.577,2.6,3,5.294
44,3317.799,557.992,2.7,4,5.294
45,3317.799,763.869,2.6,3,5.294
46,3317.799,347.656,3.3,7,5.294
47,3317.799,348.648,2.8,7,5.294
48,3317.799,781.712,2.4,3,5.294
49,3317.799,360.655,2.3,4,5.294
50,3317.799,967.527,3.7,9,5.294
51,3317.799,679.141,2.5,5,5.294
52,3317.799,831.378,2.8,4,5.294
53,3317.799,585.363,2.7,3,5.294
54,3317.799,676.918,2.5,4,5.294
55,3317.799,901.228,3.0,6,5.294
56,3317.799,1239.371,3.1,6,5.294
57,3317.799,1353.665,2.9,4,5.294
58,3317.799,1097.006,2.4,3,5.294
59,3317.799,698.598,2.6,3,5.294
60,3317.799,678.376,2.9,9,5.294
61,3317.799,893.123,2.9,4,5.294
62,3317.799,819.222,2.6,3,5.294
63,3317.799,584.08,2.5,6,5.294
64,3317.799,587.317,2.2,4,5.294
65,3317.799,347.328,3.0,7,5.294
66,3317.799,1031.606,2.6,3,5.294
67,3317.799,1007.368,2.4,3,5.294
68,3317.799,900.625,3.2,9,5.294
69,3317.799,931.291,3.0,5,5.294
70,3317.799,346.617,2.8,3,5.294
71,3317.799,656.325,2.9,4,5.294
72,3317.799,642.006,2.2,3,5.294
73,3317.799,992.334,2.8,9,5.294
74,3317.799,741.81,3.1,12,5.294
75,3317.799,1715.434,3.0,3,5.294
76,3317.799,683.903,2.8,3,5.294
77,3317.799,585.443,2.8,3,5.294
78,3317.799,588.517,2.4,5,5.294
79,3317.799,394.825,2.4,3,5.294
80,3317.799,1008.816,2.2,3,5.294
81,3317.799,345.628,2.4,5,5.294
82,3317.799,608.114,2.6,3,5.294
83,3317.799,347.256,2.9,5,5.294
84,3317.799,372.252,2.8,6,5.294
85,3317.799,923.684,2.8,3,5.294
86,3317.799,989.824,4.1,9,5.294
87,3317.799,348.671,2.4,3,5.294
88,3317.799,676.681,2.4,3,5.294
89,3317.799,366.752,2.5,4,5.294
90,3317.799,486.892,3.4,9,5.294
91,3317.799,581.38,3.5,10,5.294
92,3317.799,680.342,3.1,4,5.294
93,3317.799,570.928,2.2,3,5.294
94,3317.799,812.385,2.6,3,5.294
95,3317.799,1009.729,3.0,5,5.294
96,3317.799,584.976,2.4,3,5.294
97,3317.799,700.001,3.0,7,5.294
98,3317.799,562.775,2.8,3,5.294
99,3317.799,588.616,2.4,3,5.294
