generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,1079.797,130.235,6.14,13,7.47
1,1079.797,104.034,4.92,13,7.47
2,1465.409,182.955,5.24,13,7.046
3,1465.409,195.029,4.9,11,7.046
4,1738.676,192.861,5.94,13,6.839
5,1798.154,229.774,7.42,16,6.775
6,1798.154,196.348,10.84,58,6.775
7,2644.031,326.929,12.96,82,5.938
8,2644.031,243.666,14.54,121,5.938
9,2644.031,290.568,15.06,67,5.938
10,2644.031,258.618,14.16,40,5.938
11,2644.031,253.053,11.68,34,5.938
12,2644.031,274.577,11.92,40,5.938
13,2644.031,243.278,11.8,64,5.938
14,2644.031,293.307,14.54,64,5.938
15,2984.6,286.513,16.46,82,5.705
16,2984.6,332.438,20.78,58,5.705
17,2984.6,335.166,27.56,64,5.705
18,2984.6,373.606,26.22,79,5.705
19,1002985.6,980403.887,25.88,130,5.705
20,2984.6,297.345,22.8,94,5.705
21,1002985.6,980234.921,27.22,265,5.705
22,2984.6,209.037,19.44,64,5.705
23,1002985.6,980312.356,30.66,166,5.705
24,2984.6,270.671,20.3,87,5.705
25,2984.6,380.423,31.4,94,5.705
26,2984.6,422.683,29.0,109,5.705
27,2984.6,358.12,32.94,124,5.705
28,2984.6,338.969,32.2,100,5.705
29,1002985.6,980401.424,33.94,163,5.705
30,2984.6,181.361,18.42,67,5.705
31,1003158.771,980501.877,28.4,135,5.705
32,3157.771,278.512,16.64,81,5.825
33,1003158.771,980257.898,29.32,172,5.825
34,3157.771,215.303,24.8,121,5.825
35,3157.771,399.284,30.54,121,5.825
36,3157.771,404.993,38.9,121,5.825
37,1003158.771,960297.022,43.98,364,5.825
38,3157.771,406.274,32.56,103,5.825
39,1003158.771,980234.203,31.82,243,5.825
40,3157.771,198.424,23.86,85,5.825
41,1003158.771,960366.478,38.64,256,5.825
42,3157.771,369.224,31.54,127,5.825
43,3157.771,391.173,34.96,103,5.825
44,1003158.771,960459.384,46.92,229,5.825
45,3157.771,334.304,25.52,121,5.825
46,3157.771,482.278,44.32,121,5.825
47,1003158.771,980469.936,40.76,202,5.782
48,1003158.771,980281.956,27.7,165,5.825
49,1003158.771,980248.795,22.94,139,5.825
50,3157.771,220.407,19.06,121,5.825
51,3157.771,302.91,31.76,121,5.825
52,1003158.771,840206.083,85.18,487,5.825
