generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,2300.935,139.823,5.98,13,6.225
1,2300.935,197.377,7.34,40,6.225
2,2300.935,179.48,6.8,40,6.225
3,2300.935,219.934,5.56,13,6.225
4,2300.935,369.878,6.84,31,6.225
5,2300.935,482.378,5.54,22,6.225
6,2300.935,513.173,4.32,15,6.225
7,2300.935,520.221,2.74,22,6.225
8,2300.935,668.431,2.24,13,6.225
9,2300.935,698.518,1.74,13,6.225
10,2300.935,626.788,1.56,13,6.225
11,2300.935,546.951,2.38,13,6.225
12,2300.935,590.808,2.12,13,6.225
13,2300.935,587.738,2.14,13,6.225
14,2300.935,656.593,3.4,15,6.225
15,2300.935,497.077,2.3,13,6.225
16,2300.935,615.916,1.54,13,6.225
17,2300.935,723.954,1.88,13,6.225
18,2300.935,589.149,2.44,16,6.225
19,2300.935,733.193,2.54,22,6.225
20,2300.935,672.249,1.78,13,6.225
21,2300.935,647.039,1.7,19,6.225
22,2300.935,704.822,1.34,13,6.225
23,2300.935,750.062,1.6,13,6.225
24,2300.935,634.66,2.0,22,6.225
25,2300.935,610.632,2.06,13,6.225
26,2300.935,660.238,2.5,13,6.225
27,2300.935,557.778,2.18,15,6.225
28,2300.935,542.412,2.94,13,6.225
29,2300.935,687.466,2.88,13,6.225
30,2300.935,536.342,2.14,13,6.225
31,2300.935,479.699,3.0,13,6.225
32,2300.935,477.845,2.32,13,6.225
33,2300.935,614.82,2.24,13,6.225
34,2300.935,646.673,2.0,13,6.225
35,2300.935,686.017,2.42,13,6.225
36,2300.935,597.191,3.0,13,6.225
37,2742.354,592.725,2.92,13,5.802
38,2742.354,632.371,2.4,13,5.802
39,2742.354,693.899,2.08,13,5.802
40,2742.354,559.334,2.54,22,5.802
41,2742.354,567.258,2.0,13,5.802
42,2742.354,727.516,2.08,13,5.802
43,2742.354,586.419,2.52,13,5.802
44,2822.539,729.876,2.02,13,5.758
45,2822.539,570.498,2.68,13,5.758
46,2822.539,590.145,2.98,13,5.758
47,2822.539,566.054,2.82,13,5.758
48,2822.539,663.998,2.82,13,5.758
49,2822.539,580.406,4.5,22,5.758
50,2822.539,464.763,4.08,13,5.758
51,2822.539,585.716,2.28,13,5.758
52,2822.539,664.003,2.76,16,5.758
53,2822.539,625.739,2.8,16,5.758
54,2822.539,625.208,2.54,13,5.758
55,2822.539,525.091,2.82,13,5.758
56,2822.539,549.181,2.36,13,5.758
57,2822.539,543.91,2.36,13,5.758
58,2999.494,557.386,3.02,13,5.598
59,2999.494,669.286,3.32,13,5.598
60,2999.494,510.263,4.28,16,5.598
61,2999.494,548.258,3.06,13,5.598
62,2999.494,637.43,2.44,16,5.598
63,2999.494,619.423,2.12,13,5.598
64,2999.494,529.117,4.04,31,5.598
65,2999.494,677.747,2.38,13,5.598
66,2999.494,655.624,3.88,40,5.598
67,2999.494,557.346,4.38,22,5.598
68,2999.494,604.782,2.68,13,5.598
69,2999.494,630.496,3.26,13,5.598
70,2999.494,554.682,3.52,13,5.598
71,2999.494,670.554,3.78,16,5.598
72,2999.494,687.312,1.84,13,5.598
73,2999.494,669.858,3.34,31,5.598
74,2999.494,645.591,2.66,16,5.598
75,2999.494,638.848,1.78,13,5.598
76,2999.494,678.663,2.44,14,5.598
77,2999.494,530.86,2.84,13,5.598
78,2999.494,776.024,1.76,13,5.598
79,2999.494,596.804,2.54,13,5.598
80,2999.494,629.174,2.98,13,5.598
81,2999.494,669.584,2.64,13,5.598
82,2999.494,562.191,2.44,13,5.598
83,2999.494,648.131,1.84,13,5.598
84,2999.494,712.523,1.54,13,5.598
85,2999.494,633.477,2.24,13,5.598
86,2999.494,541.911,1.94,13,5.598
87,2999.494,550.287,2.24,13,5.598
88,2999.494,585.217,2.82,16,5.598
89,2999.494,624.426,1.98,13,5.598
90,2999.494,633.28,1.88,13,5.598
91,2999.494,618.557,2.48,13,5.598
92,2999.494,636.595,2.22,13,5.598
93,2999.494,683.663,3.9,13,5.598
94,2999.494,716.885,2.92,13,5.598
95,2999.494,672.657,2.78,16,5.598
96,2999.494,664.182,2.62,22,5.598
97,2999.494,655.942,2.64,13,5.598
98,2999.494,615.755,2.66,13,5.598
99,2999.494,604.937,4.8,40,5.598
