generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,1008.472,78.59,6.02,13,7.514
1,1008.472,170.64,6.06,13,7.514
2,1008.472,187.213,5.18,13,7.514
3,2333.825,277.397,5.44,31,6.346
4,2333.825,272.939,6.24,13,6.346
5,2333.825,235.292,6.3,27,6.346
6,2333.825,236.927,5.02,22,6.346
7,2333.825,249.541,5.66,22,6.346
8,2333.825,322.229,5.66,22,6.346
9,2333.825,230.669,5.5,22,6.346
10,2333.825,278.7,5.2,16,6.346
11,2333.825,236.842,7.62,40,6.346
12,2333.825,303.823,6.12,13,6.346
13,2333.825,375.97,6.04,22,6.346
14,2333.825,253.905,5.62,21,6.346
15,2333.825,316.169,7.14,40,6.346
16,2333.825,258.746,7.06,22,6.346
17,2333.825,389.169,4.24,13,6.346
18,2333.825,402.184,3.96,28,6.346
19,2333.825,368.086,4.34,13,6.346
20,2333.825,368.145,4.24,13,6.346
21,2385.846,420.94,3.62,10,6.287
22,2385.846,478.289,4.46,40,6.287
23,2385.846,416.019,4.36,40,6.287
24,2385.846,337.763,5.3,40,6.287
25,2385.846,485.423,5.38,27,6.287
26,2385.846,437.15,5.82,19,6.287
27,2385.846,402.704,3.14,10,6.287
28,2385.846,461.424,2.7,13,6.287
29,2385.846,513.861,3.18,9,6.268
30,2385.846,555.317,2.66,9,6.278
31,2385.846,685.562,3.72,27,6.278
32,2385.846,572.439,3.02,9,6.287
33,2385.846,483.184,3.62,15,6.287
34,2385.846,644.134,4.06,29,6.287
35,2385.846,484.592,2.66,9,6.287
36,2385.846,587.805,2.52,9,6.287
37,2385.846,572.068,3.2,16,6.287
38,2385.846,818.969,2.94,9,6.192
39,2385.846,721.452,3.18,10,6.192
40,2385.846,847.986,2.74,9,6.287
41,2385.846,822.048,2.54,9,6.287
42,2385.846,991.446,2.92,9,6.287
43,2385.846,584.364,2.5,9,6.287
44,2385.846,496.101,2.98,9,6.287
45,2385.846,566.233,2.8,9,6.287
46,2385.846,494.15,3.04,9,6.281
47,2543.173,517.668,4.0,12,6.142
48,2543.173,429.468,4.16,10,6.142
49,2543.173,321.982,3.6,15,6.142
50,2543.173,407.565,3.94,13,6.142
51,2692.479,654.994,3.7,11,5.999
52,2692.479,627.625,4.8,16,5.999
53,2692.479,520.408,4.7,13,5.999
54,2692.479,417.206,4.06,10,5.999
55,2692.479,492.595,5.62,19,5.999
56,2692.479,447.527,5.34,22,5.999
57,2692.479,541.096,5.42,27,5.999
58,2692.479,426.927,5.0,13,5.999
59,2692.479,693.051,3.92,10,5.999
60,2692.479,546.93,3.44,10,5.999
61,2692.479,567.115,4.28,19,5.999
62,2692.479,283.018,6.04,21,5.999
63,2692.479,488.731,6.22,16,5.999
64,2692.479,380.076,4.66,13,5.999
65,2692.479,589.431,4.46,19,5.999
66,2692.479,609.702,4.02,22,5.999
67,2692.479,684.095,3.2,10,5.999
68,2692.479,441.364,4.14,12,5.999
69,2692.479,678.823,3.96,13,5.999
70,2692.479,597.525,3.58,13,5.999
71,2692.479,600.271,3.58,13,5.999
72,2692.479,706.833,3.84,13,5.999
73,2692.479,562.831,4.38,16,5.999
74,2692.479,519.503,4.18,13,5.999
75,2692.479,448.131,4.14,22,5.999
76,2692.479,489.197,3.82,13,5.999
77,2692.479,340.516,4.18,15,5.999
78,2692.479,482.831,4.24,15,5.999
79,2692.479,578.26,3.98,13,5.999
80,2692.479,618.234,4.28,13,5.999
81,2692.479,675.297,3.58,10,5.999
82,2692.479,613.716,3.66,13,5.999
83,2692.479,630.014,4.16,21,5.999
84,2692.479,620.401,3.54,10,5.999
85,2692.479,725.98,3.68,13,5.999
86,2692.479,750.746,3.8,16,5.999
87,2692.479,583.965,3.54,10,5.999
88,2692.479,460.381,4.18,13,5.999
89,2692.479,360.113,3.78,13,5.999
90,2692.479,300.485,4.3,13,5.999
91,2692.479,449.275,5.66,22,5.999
92,2692.479,492.972,4.84,13,5.999
93,2692.479,551.859,4.54,10,5.999
94,2692.479,401.457,3.68,15,5.999
95,2692.479,306.954,4.74,13,5.999
96,2692.479,426.078,4.32,10,5.999
97,2692.479,402.339,5.12,13,5.999
98,2692.479,376.965,5.42,13,5.999
99,2692.479,415.925,6.12,15,5.999
