generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,505.459,87.495,6.367,13,8.01
1,1554.364,140.305,5.6,19,7.1
2,1554.364,188.167,6.267,27,7.1
3,1554.364,159.399,5.333,10,7.1
4,1554.364,258.713,5.167,12,7.1
5,1554.364,143.335,4.6,10,7.1
6,1554.364,291.41,5.867,19,7.1
7,1554.364,201.234,5.4,12,7.1
8,1912.426,365.026,5.567,10,6.817
9,1912.426,226.574,5.6,11,6.817
10,1912.426,253.788,4.367,9,6.817
11,1912.426,305.01,3.933,9,6.817
12,1912.426,281.933,3.7,7,6.817
13,1928.286,339.134,3.467,13,6.712
14,1928.286,300.256,5.333,15,6.712
15,1959.804,182.577,3.6,7,6.712
16,1959.804,128.999,3.767,10,6.781
17,1959.804,362.161,4.533,12,6.781
18,1959.804,355.092,3.933,5,6.781
19,1959.804,306.729,4.133,9,6.781
20,1959.804,272.226,4.3,9,6.781
21,1959.804,302.238,3.967,8,6.781
22,1959.804,458.924,4.767,9,6.781
23,1959.804,252.004,6.0,13,6.781
24,1959.804,523.23,7.4,15,6.773
25,1959.804,299.2,8.833,28,6.781
26,1959.804,270.154,5.433,11,6.781
27,1959.804,436.465,4.5,10,6.781
28,1959.804,264.298,4.467,9,6.781
29,1959.804,274.462,5.033,10,6.781
30,1959.804,217.975,4.8,9,6.781
31,1959.804,301.281,3.933,7,6.781
32,1959.804,438.002,4.133,7,6.781
33,1959.804,318.905,4.4,19,6.781
34,1959.804,381.095,5.633,19,6.781
35,1959.804,356.915,4.933,23,6.781
36,1959.804,209.408,5.1,15,6.779
37,1959.804,217.866,4.667,19,6.781
38,1959.804,173.189,4.033,9,6.781
39,1959.804,260.369,4.2,7,6.781
40,1959.804,293.581,4.2,7,6.781
41,1959.804,341.828,4.233,9,6.781
42,1959.804,313.262,5.233,15,6.781
43,1959.804,407.526,4.567,9,6.723
44,1959.804,251.205,4.767,12,6.781
45,1959.804,441.614,4.333,7,6.781
46,1959.804,323.092,4.733,13,6.781
47,1959.804,440.949,5.833,12,6.752
48,1959.804,363.621,4.833,10,6.781
49,1959.804,269.98,4.767,9,6.781
50,1959.804,319.211,5.167,9,6.781
51,1959.804,428.902,4.633,8,6.781
52,1959.804,307.857,4.633,13,6.781
53,1959.804,345.949,4.667,11,6.781
54,1959.804,175.246,4.367,9,6.781
55,1959.804,339.673,4.567,9,6.781
56,1959.804,273.488,4.133,13,6.781
57,1959.804,226.438,4.467,13,6.781
58,1959.804,232.938,5.233,21,6.781
59,1959.804,351.644,6.6,31,6.781
60,1959.804,252.415,5.667,22,6.781
61,1959.804,170.633,5.333,19,6.781
62,1959.804,197.001,5.267,15,6.781
63,1959.804,207.59,4.767,14,6.781
64,1959.804,206.96,6.3,28,6.781
65,1959.804,202.563,7.5,28,6.781
66,1959.804,218.973,4.7,9,6.781
67,1959.804,229.999,4.8,11,6.781
68,1959.804,376.576,4.1,8,6.781
69,1959.804,371.459,5.1,8,6.781
70,1959.804,269.379,5.167,11,6.781
71,1959.804,291.552,5.0,11,6.781
72,1959.804,252.768,6.767,22,6.781
73,1959.804,295.032,6.0,17,6.781
74,1959.804,290.511,5.767,10,6.781
75,1959.804,318.807,4.733,12,6.781
76,1959.804,419.68,4.467,12,6.781
77,1959.804,321.701,3.9,7,6.781
78,1959.804,230.818,4.1,11,6.781
79,1959.804,238.82,4.133,10,6.781
80,1959.804,285.362,3.8,6,6.781
81,1959.804,233.91,4.367,8,6.781
82,1959.804,270.217,4.633,11,6.781
83,1959.804,170.852,4.433,10,6.781
84,1959.804,371.924,5.5,13,6.781
85,1959.804,329.955,5.267,15,6.781
86,1959.804,296.417,4.8,9,6.781
87,1959.804,181.736,4.9,9,6.781
88,1959.804,332.741,4.267,7,6.781
89,1959.804,334.864,5.3,12,6.781
90,1959.804,487.032,5.333,16,6.781
91,1959.804,399.916,5.8,27,6.781
92,1959.804,391.946,5.833,12,6.781
93,1959.804,405.572,5.3,11,6.781
94,1959.804,352.669,4.067,13,6.781
95,1959.804,350.419,4.367,13,6.781
96,1959.804,273.517,5.333,15,6.781
97,1959.804,187.217,4.767,10,6.781
98,2128.312,336.4,4.133,9,6.648
99,2128.312,354.982,5.033,15,6.648
